ID	Label	log2FC	SE	pvalue	adj.pvalue	baseMean
SCO0126	mu_wt24	0.0008673254863685	0.1100077022681	0.99319961807842	0.997055499643321	1925.24352332775
SCO0127	mu_wt24	0.0506220125400212	0.118600567334154	0.576760120398548	0.825891866859961	1398.29933582909
SCO0128	mu_wt24	-0.0102221187671842	0.158885414241048	0.877928596092042	0.967053028180152	19.8631988390289
SCO0129	mu_wt24	0.0054070533834474	0.142597856244705	0.949209364296361	0.98838179530723	50.1051720314053
SCO0130	mu_wt24	0.334583231002315	0.337412847937715	0.0231269330476872	0.138312168008273	34.1813891401703
SCO0131	mu_wt24	0.0319845874590085	0.172772819839442	0.479893129763463		9.67385392449096
SCO0132	mu_wt24	-0.08290806567318	0.104424349233693	0.336709146709963	0.657571062295025	753.657032738297
SCO0133	mu_wt24	0.0040704908604518	0.166697532876174	0.935963084061895	0.983021712872196	19.7291925102238
SCO0134	mu_wt24	-0.0495795083236441	0.16920399916063	0.449118315842958	0.74896994373811	22.9396268949909
SCO0135	mu_wt24	-0.0276092350413915	0.141123605117013	0.754884045465371	0.917235094535473	132.450897074927
SCO0136	mu_wt24	-0.067965855682576	0.131158672997207	0.457535075098361	0.755643904618573	108.002659511734
SCO0137	mu_wt24	0.171513372819246	0.164123902769178	0.103930578174534	0.349718109520324	130.423259785715
SCO0138	mu_wt24	0.108184286598528	0.203480035293752	0.130253631079046	0.404393997120568	28.1159450415409
SCO0139	mu_wt24	-0.0383070401867757	0.171548516224369	0.475110428085524	0.767142112738217	23.9916767595388
SCO0140	mu_wt24	0.0071887244904688	0.116296784755948	0.935181597791806	0.983021712872196	259.664552679536
SCO0141	mu_wt24	-0.0585718895529001	0.114207991605631	0.503034556681136	0.78422069671543	430.397844089269
SCO0142	mu_wt24	-0.131755267276815	0.172431860957409	0.180977893113672	0.482738432119025	133.277033073195
SCO0143	mu_wt24	-0.0964248454906462	0.172729743367236	0.264150791616173	0.589253321315932	38.4090769046146
SCO0144	mu_wt24	-0.329981231429024	0.412001506686006	0.0229403006511722	0.137872734022761	31.5336953914721
SCO0145	mu_wt24	0.0802275044675994	0.132636274228823	0.391342871634781	0.70686501014413	110.899383010482
SCO0147	mu_wt24	-0.0430872331289849	0.148390090887423	0.602782050064937	0.842893010544635	40.0688507354482
SCO0148	mu_wt24	0.018253631694785	0.160284625097693	0.784669700105819	0.930128488536753	20.8424063124994
SCO0149	mu_wt24	-0.0343150521616151	0.143838861425989	0.684155838056944	0.885936637469255	55.7467654878706
SCO0150	mu_wt24	-0.003724845511775	0.150110045195129	0.959707039818539	0.989032537477288	42.6377342649978
SCO0151	mu_wt24	0.0286270430176945	0.170164387055394	0.570804754340584		8.99539036328326
SCO0152	mu_wt24	0.04313413659085	0.165587842217147	0.522660828469674	0.796117318844507	23.4562866588464
SCO0153	mu_wt24	-0.0698167740958301	0.155909035329992	0.418935564842964	0.725840507138197	52.5269581581151
SCO0154	mu_wt24	-0.0419634499713334	0.172262973069061	0.442556528225944		13.1201050560855
SCO0155	mu_wt24	0.0577818624171166	0.139131584173516	0.517410635449016	0.79171223398103	80.467985559795
SCO0156	mu_wt24	0.0278722229840414	0.159750688893405	0.690374222977358	0.888500437517122	28.4913919697027
SCO0157	mu_wt24	-0.0065271368076835	0.173640650936868	0.783522669967555		2.88202076180305
SCO0158	mu_wt24	0.0418326257426612	0.169795435468459	0.482900736407113	0.772382624398896	25.035934550576
SCO0159	mu_wt24	0.72377333245625	0.316362442971763	0.0011235463648269	0.0148680783403477	86.5807461531774
SCO0160	mu_wt24	0.0039871276692837	0.154773915215393	0.949157106131499	0.98838179530723	597.313462985305
SCO0161	mu_wt24	-0.0040938225016287	0.174494163618447	0.818646536610846		1.14550955848512
SCO0162	mu_wt24	-0.010665380341026	0.162898864831909	0.860606896205514	0.960496653084648	36.132897673732
SCO0163	mu_wt24	0.124298500126109	0.200886365875356	0.151903798394987	0.440157495074685	662.383047568471
SCO0164	mu_wt24	0.546648609641001	0.378280477494536	0.0069526546276329	0.0590240854642583	274.427360625663
SCO0165	mu_wt24	0.736022947999735	0.294706316592413	0.0006755322509584	0.0095401170278762	133.748038739976
SCO0166	mu_wt24	-0.0046563941186261	0.128178556105275	0.954737511205303	0.988586328681586	506.182851357883
SCO0167	mu_wt24	0.126914820255256	0.187268553969495	0.177024898356787	0.477366155262223	101.185010213525
SCO0168	mu_wt24	0.128020740560066	0.19463717388495	0.15950694465066	0.452774132663251	63.8730883965412
SCO0169	mu_wt24	0.0633657540425406	0.152316648980468	0.460493590245134	0.758182268736192	80.3003034327098
SCO0170	mu_wt24	0.0069449652124182	0.142016117206829	0.926701470491331	0.980338305214729	137.981537875971
SCO0171	mu_wt24	-0.0365859032760696	0.175990505621228	0.35095023575891		11.5223823581562
SCO0172	mu_wt24	-0.0144307966649396	0.167779199586604	0.811019524042507	0.940595385705321	451.242457329656
SCO0173	mu_wt24	0.0853425071750323	0.164831280952325	0.314440855466199	0.638916137131594	144.235030797632
SCO0174	mu_wt24	0.0021044655693882	0.167508519639084	0.934429420511678	0.983021712872196	103.188566094176
SCO0175	mu_wt24	-0.0107589508796176	0.172744852758054	0.726071975620756		4.90552923824182
SCO0176	mu_wt24	-0.0165314100183633	0.175673738091189	0.38505783651365		2.8660906649447
SCO0177	mu_wt24	-0.0368951313604747	0.176525710685392	0.32335261967383		7.28905612564531
SCO0178	mu_wt24	-0.001153453956974	0.165853982092405	0.982843635129524	0.993951109784711	20.4486004113258
SCO0179	mu_wt24	0.0090973475276905	0.149954712905761	0.904956237874935	0.973635363866609	128.077256137569
SCO0180	mu_wt24	0.0096817360409881	0.162340747381526	0.874859576500283	0.965771027158681	21.7735627988456
SCO0181	mu_wt24	0.0438256400055594	0.175522935572149	0.361757485185222	0.6809227282309	21.3164934179315
SCO0182	mu_wt24	-0.0085688588848212	0.175076781757511	0.758409601660968		1.33640899687466
SCO0183	mu_wt24	-0.0141688731590667	0.172390059635904	0.678765379467596		6.48627974814398
SCO0184	mu_wt24	0.0124996821186992	0.169360696227001	0.780523554045954		8.38610378508408
SCO0185	mu_wt24	-1.89523031699651	0.349949708298478	4.777264354494211e-09	2.29122561833079e-07	145.139233480396
SCO0186	mu_wt24	0.0693615142147597	0.160688221295044	0.403457819163856	0.716153307670825	251.620560577757
SCO0187	mu_wt24	-0.0829403189128923	0.182891807465971	0.245987582590694	0.569549932606542	162.111997966624
SCO0188	mu_wt24	-0.35741963235667	0.326993669400909	0.0207139737674519	0.128999502737268	170.824416169993
SCO0189	mu_wt24	-0.38841407845964	0.222631314211117	0.0080069319595902	0.065491915230934	241.195353254252
SCO0190	mu_wt24	-0.209192707633406	0.242694550042233	0.0657295692681506	0.271217094198078	103.68296739835
SCO0191	mu_wt24	-0.568283023973201	0.236739976984233	0.0011252715667823	0.0148680783403477	229.739996374503
SCO0192	mu_wt24	-1.54531880104255	0.329372632116913	1.24212026490675e-07	5.01327883967281e-06	682.838241727536
SCO0193	mu_wt24	-1.45399531888014	0.559009612136348	0.0002990921872209	0.0050435956502598	1841.15447303089
SCO0194	mu_wt24	-0.0768103140135537	0.195931502345354	0.0557151158249553	0.244220679811941	4628.58804169031
SCO0195	mu_wt24	-0.054758835450833	0.186207715158576	0.0404550105819444	0.199599671448391	2448.14547182013
SCO0196	mu_wt24	-0.107759659488182	0.22700652958534	0.0012642864335014	0.016206246165377	295.928224363049
SCO0197	mu_wt24	-2.19735113036248	0.419018181858341	7.699760316804491e-09	3.55440185624487e-07	60.4525558322488
SCO0198	mu_wt24	-0.0009768733707934	0.147501606019489	0.990059979381189	0.995857688643533	48.251082278835
SCO0199	mu_wt24	0.0565222949236777	0.175485009292785	0.345569012018442	0.665366278634753	21.0677451747526
SCO0200	mu_wt24	-0.0065551072019366	0.157034240506187	0.922925820223454	0.979683250245125	31.0438716769961
SCO0201	mu_wt24	-0.0232582927228178	0.171021211793075	0.60673945809473		10.679465900722
SCO0202	mu_wt24	0.0141118802816969	0.144502670736175	0.864660846118476	0.961314561758862	47.9091114128989
SCO0203	mu_wt24	0.0060517057724976	0.0731027592712594	0.924214637735664	0.979797518919997	784.990480834066
SCO0204	mu_wt24	0.0222880861572939	0.120204754106179	0.800337135690103	0.936813008590666	151.742734287295
SCO0207	mu_wt24	-0.0284515088876055	0.175898659370342	0.339837351161484		4.36805326576108
SCO0208	mu_wt24	0.345296737789664	0.373018261257693	0.0219902885108445	0.134591412158999	80.5944068221243
SCO0209	mu_wt24	0.0541542087990114	0.176900681614216	0.323944671839047	0.648064828332394	39.915086688216
SCO0210	mu_wt24	-0.0309109530715047	0.174213524345551	0.434202854746695		12.9695275632539
SCO0211	mu_wt24	0.109546058027913	0.21971729409113	0.0365997687315355	0.188551079350762	14.1163924145884
SCO0212	mu_wt24	0.0578261433689574	0.172793997290053	0.377936176170302	0.695598454321915	28.8793929105216
SCO0213	mu_wt24	0.0598998937286536	0.175607348048371	0.330393881655795	0.653182336699599	23.8780992764554
SCO0214	mu_wt24	-0.008667418124073	0.167166101906571	0.863231671082755		12.1052387653119
SCO0215	mu_wt24	1.10076648533976	0.836375589163075	0.0047016452924891	0.0444639591937577	15.0199586757144
SCO0216	mu_wt24	0.0437456621036018	0.146036212322974	0.607289737614204	0.845831039415144	51.4251052752185
