""	"D24_1"	"D24_2"	"D24_3"	"C24_1"	"C24_2"	"C24_3"	"D45_1"	"D45_2"	"D45_3"	"C45_1"	"C45_2"	"C45_3"
"SCO0040"	6.95106129673953	6.66745257911446	6.92051616668132	6.87050390501296	6.95085841819577	6.93944252832302	7.01267380301504	7.29530157185049	7.20597473449618	7.17621151779368	6.87433225090131	7.11949076924743
"SCO0041"	6.66043943324375	6.59608002384877	6.4234206960654	6.69788487723141	6.4234206960654	6.4234206960654	6.94104872452247	6.99409286368857	6.87219998133295	6.78543433850639	7.02276693139504	6.86619669784249
"SCO0042"	7.0678817644745	6.80858425194576	6.72876608319285	6.81099077988861	6.84714610246029	6.96213036831563	7.64033329770769	7.52702285499407	7.63963668695979	7.54291496556729	7.78773329291359	7.59220998232443
"SCO0043"	7.2825136060194	7.38293002689539	7.10121800616702	7.2660248363718	7.15220185286957	7.1330389555263	9.45004692265335	9.33302785262227	9.48120093008481	9.46041549336336	9.36877030469451	9.54147331314006
"SCO0044"	6.92426022860488	6.66745257911446	6.88869554905993	6.4234206960654	6.76980331798549	6.73564529015258	6.88689303886898	6.89755137938437	6.99605215044953	6.65273789857179	6.94339144277017	6.86619669784249
"SCO0045"	6.4234206960654	6.4234206960654	6.4234206960654	6.64763215684853	6.4234206960654	6.4234206960654	6.58789936998159	6.56696146721749	6.4234206960654	6.58565770091736	6.4234206960654	6.4234206960654
"SCO0046"	7.35622849568301	7.20550578574213	7.1441280835048	7.40792038600731	7.2506462641615	7.28160567327908	7.49054599407871	7.43790398856093	7.44546140099145	7.28470669245759	7.31467857280903	7.36025405272802
"SCO0047"	8.08225712262524	8.11945319602682	8.13168435049225	8.16051048035414	8.43793559669117	8.21531383673256	8.33576172988234	8.39994339075297	8.32880160797676	8.43922135692666	8.47451539419473	8.35203628746399
"SCO0048"	6.79755257856385	6.66745257911446	6.4234206960654	6.58204183138879	6.66864360199165	6.69394660373371	7.13356390038183	7.06043207126004	7.14741872205018	6.85131556775788	6.98455434257528	6.94650892884461
"SCO0049"	6.66043943324375	6.72212013194534	6.67288883986645	6.74018611164386	6.66864360199165	6.73564529015258	7.26649265972775	7.28408571598973	7.17144055484788	7.06735224629641	7.19825890972783	7.19677886368796
"SCO0050"	6.75824098974302	6.80858425194576	6.67288883986645	6.94689614885897	6.84714610246029	6.80544574758053	6.82522783950826	6.95766487798518	6.99605215044953	6.78543433850639	6.94339144277017	7.09157496691774
"SCO0055"	8.95359515835469	9.04145059248987	9.12891944070091	8.67266491646412	8.90779706100179	8.91991927779384	8.39855630468166	8.46797994101348	8.41065597316497	8.35469589967422	8.3559098487111	8.40129785035545
"SCO0056"	6.66043943324375	6.66745257911446	6.4234206960654	6.4234206960654	6.56511374893089	6.4234206960654	6.65590303950917	6.74386092697397	6.72665054770782	6.58565770091736	6.63665453544692	6.66660403452482
"SCO0057"	7.46201980967663	7.42524636574118	7.34239310145613	7.3072817092578	7.45269840828778	7.43982354953296	7.32495494962659	7.35945103655045	7.38519932786721	7.24015607247224	7.32658835207643	7.28826145112302
"SCO0058"	8.52179910253245	8.59414771086081	8.51183641028559	8.59756665489719	8.49537833265351	8.4834496520264	8.85446576284394	8.87307960307166	8.89200427973245	8.85214804738023	8.80191006293071	8.89355916221208
"SCO0059"	7.74032346499033	7.87712080675622	7.88914353688291	7.96715192222462	7.85712206038508	7.96676115010367	7.61014649718799	7.70481032940455	7.85252335301083	7.9499030733552	7.97932417399042	7.82810275398809
"SCO0060"	7.38393494239038	7.16817732458395	7.2762108542723	6.96990420707694	7.19074123443819	6.89062782723829	7.11498241605276	7.04455020750162	7.01153256673902	7.08683297686564	7.19825890972783	7.10568614545937
"SCO0061"	8.50725866498918	8.53481875241062	8.35760160936812	8.21673068748877	8.44160225673637	8.21531383673256	8.38314830631384	8.26047205069651	8.14688179266518	8.5673092916254	8.47046408226859	8.50476373710832
"SCO0062"	8.68043015858822	8.90311670369041	8.73399644183346	8.75459998386866	8.79804114642478	8.63016137077457	8.43379696069641	8.50427199037942	8.50687516662985	8.96983516672938	8.76677428626196	8.75933228584116
"SCO0063"	8.30714193621139	8.27795881193229	8.30170884481908	8.148945753832	8.22654027033123	8.14378526833778	8.07360253261914	8.07817896473039	8.0210074211546	8.34436929810241	8.3514614077873	8.2598341616056
"SCO0064"	7.16557274037214	7.27482366481623	7.30999553780326	7.09076659755313	7.1388534763213	7.24015227974337	7.39250525232267	7.48356288929471	7.27044582225735	7.31303276371589	7.30258715148541	7.24393047802672
"SCO0065"	6.89587744655309	6.99270804915769	7.03075735730579	7.07227924343088	7.03666737529591	7.09903661155271	7.11498241605276	7.10572543098158	7.15953599199947	7.00474213478295	7.09233150180999	6.88762771495142
"SCO0066"	7.21801320526429	7.14872683631233	7.25874546452324	7.07227924343088	7.17813272179156	7.11626219437888	7.35264497625352	7.28408571598973	7.26008157083547	7.22469471794803	7.02276693139504	7.06235094044737
"SCO0067"	7.02403530891431	7.04158467927721	7.18443760478472	6.94689614885897	6.98683359382328	6.96213036831563	7.13356390038183	7.06043207126004	7.12250138998818	6.90810560035889	7.05856297203294	6.92767599022987
"SCO0068"	6.75824098974302	6.76812494976429	6.72876608319285	6.64763215684853	6.84714610246029	6.86411972791247	7.20313568022152	7.02822530474391	6.96369122502048	6.85131556775788	6.98455434257528	6.9991701237375
"SCO0069"	7.31282507977684	7.36834036512845	7.29328663791076	7.32056353376205	7.50501521906554	7.58317715554686	7.78768334340738	7.81869296758975	7.71135784493124	7.42952624858651	7.37254774264845	7.70680207726489
"SCO0070"	6.79755257856385	6.66745257911446	6.81713319758144	6.74018611164386	6.73974931198323	6.69394660373371	7.11498241605276	7.10572543098158	7.10967641598504	6.88062245092124	6.94339144277017	7.07713730300753
"SCO0071"	6.66043943324375	6.59608002384877	6.81713319758144	6.64763215684853	6.56511374893089	6.80544574758053	6.4234206960654	6.67183616638916	6.72665054770782	6.70412851384864	6.84873481960919	6.56393339587259
"SCO0072"	8.14903069101049	8.06899377261808	8.04066889762123	8.02665714390734	7.93775149568415	8.06165718838809	8.9783852495158	8.81781780165381	8.89200427973245	8.54091050276104	8.55297720939923	8.62576927047988
"SCO0073"	6.66043943324375	6.72212013194534	6.59993105397474	6.69788487723141	6.56511374893089	6.64441180775957	6.75184659600756	6.67183616638916	6.80655898796906	6.78543433850639	6.72470566310595	6.66660403452482
"SCO0074"	6.4234206960654	6.59608002384877	6.4234206960654	6.4234206960654	6.4234206960654	6.4234206960654	6.4234206960654	6.4234206960654	6.61541159442944	6.4234206960654	6.57426834626731	6.4234206960654
"SCO0075"	7.41075630916401	7.38293002689539	7.2408652662983	7.12618456841153	7.32721400700818	7.24015227974337	7.16923239080884	7.30635827382336	7.09658863280565	7.15927337612092	7.29030640483241	7.34033471683737
"SCO0079"	7.67280130408609	7.87712080675622	7.71346559716255	7.8378243847783	7.75045766326176	7.63852276681899	7.9836903894184	7.93318021156602	8.19291029291074	8.13591800956175	8.17968210063633	8.16916823991305
"SCO0080"	7.44948224168886	7.52904423658599	7.51429295287492	7.50856629819015	7.35788732992081	7.28160567327908	8.16947281161995	8.03707830995145	7.95257390020647	7.57438013222194	7.44737222486568	7.55346517941176
"SCO0083"	6.97651092017043	6.84509779107363	6.97851330039218	7.09076659755313	6.98683359382328	6.89062782723829	7.4053822922912	7.29530157185049	7.17144055484788	7.10572029976136	7.18410403492128	7.11949076924743
"SCO0084"	7.26690053445556	7.39727037193221	7.05517514492212	7.2660248363718	7.15220185286957	7.308044935146	7.43056981290659	7.31726178778061	7.38519932786721	7.19274440194188	7.41609987789884	7.34033471683737
"SCO0085"	7.0678817644745	7.01767715715828	7.25874546452324	6.89738943064414	7.06763529649136	6.96213036831563	7.05571617297575	7.02822530474391	7.05558291504898	6.98222266555937	7.07568049007461	7.01563456732593
"SCO0086"	7.47438318643151	7.6443847623068	7.76524184157937	7.60880044993741	7.52180569993783	7.61124207320485	7.41806803196747	7.58465007737705	7.53257412339618	7.61478761854249	7.55351643680546	7.57689995350964
"SCO0087"	7.6004287427583	7.68697407839802	7.79512544224754	7.33362761738015	7.43455392253253	7.48312625583422	7.20313568022152	7.29530157185049	7.48609934308453	7.15927337612092	7.2651433182557	7.25525940557336
