	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0090	0.02450432848693582	0.0032257501461736356	0.0002682225288383599	3.060998669390482e-05
SCO0091	0.00027617162745776784	0.00151716371190261	0.012634901345143959	0.0001886656678825008
SCO0095	0.01916648764972563	0.0026999876421336397	0.00224905815132104	0.007359771690858842
SCO0096	0.008407584608719616	8.316233307870924e-05	0.001285262701496951	0.003621656347523706
SCO0097	0.015519368250239972	0.0016550215588637138	0.014632335874529266	0.0050329715592188655
SCO0098	0.0037301901721188717	0.0029062325998477244	0.0008504663466720972	0.004937160080481685
SCO0101	0.00810491571471027	0.003476585551079629	0.006137068513844091	0.008332410998038484
SCO0102	0.009250824707369348	0.0010413636885856857	0.004764627498641705	0.00268235426680308
SCO0103	0.013228594842644579	0.003636038038107426	0.004667307185548158	0.007394511853281639
SCO0104	0.0029060192105918124	0.0009107854383290371	0.00431352486716502	0.006804298014752476
SCO0105	0.01772943586849973	0.0006760176492084731	0.007407039079943056	0.0018654547592805264
SCO0106	0.006108855709424375	0.01161597616556036	0.015088517466942092	0.006860878657625187
SCO0107	0.0027478513999973516	0.01420478580311619	0.03201679036578898	0.0008049825417872816
SCO0108	0.015877770458491227	0.028160618636215957	0.016519703540430846	0.007477961123500407
SCO0109	0.002597907979274934	0.005342635335076902	0.0009136729839490195	0.002985722976219256
SCO0110	0.0008981756005687549	0.0003663522549065362	0.003491013424642557	0.009649935098138709
SCO0111	0.002938301769058621	0.008277701210269744	0.010204767860613426	0.0006451201159961607
SCO0112	0.015877770458491227	0.004290890291162262	0.01959853299497856	0.007585004523812582
SCO0116	0.010070930880906818	0.005392036159300204	0.002821828791755636	0.002007536221120049
SCO0117	0.003409397665893198	0.007337375729835295	0.021253567708294032	0.002675124336527211
SCO0118	0.003770848829853131	0.0015841340095345494	0.0015861653286298881	0.006844716060259041
SCO0119	0.015102740917339617	0.0010864757291420832	0.031264232872031894	0.008342384566617267
SCO0120	0.003434869464984279	0.002876579224704158	0.017514457955758247	0.0037193858688868804
SCO0121	0.004083578320787465	0.0166500821396253	0.03481877747703591	0.01160691986240122
SCO0122	0.005532704360439988	0.0075689389661964986	0.016046235825993765	0.002619240136320919
SCO0123	0.007749835118427415	0.014336864803831652	0.021811396238702492	0.011006461177948696
SCO0124	0.00024915353650328993	0.0002441563019205073	0.0749008763234584	0.01512886267805984
SCO0125	0.0010348418117166955	0.0012275185431471869	0.0865836674384898	0.004393501317137974
SCO0126	0.003684788293163147	0.004419496453827882	0.11943100600386411	0.004992062443256886
SCO0127	0.0025530360962109115	0.002894845197325273	0.14833259556477874	0.0021658493449051154
SCO0128	0.000845724964976172	0.0030139537787880906	0.01678572309860113	0.0021429350516208668
SCO0129	0.00011309487941473199	0.0010322908611364793	0.013611949683747144	0.0072729694318896775
SCO0130	0.01100779569408276	0.004324564478518174	0.00010672952818964579	0.007196943701620728
SCO0131	0.02690222134568107	0.0093322239790321	0.007867517706153387	0.0038214741011994386
SCO0132	0.005716013425782996	0.007679666868736015	0.006924209069213469	0.004480361972631129
SCO0133	0.009423497510160505	0.013583035596964547	0.002943581751869465	0.026114813640671565
SCO0134	0.010485617459620546	0.004693911824846561	0.0003095280161196852	0.0029776140817807935
SCO0135	0.006197415401946405	0.008374903247959734	0.011185175641784372	0.009300779882225222
SCO0136	0.0007242367779879365	0.0020640807431052924	0.0011150545547833324	0.00012362065645742765
SCO0137	0.007567343463196757	0.006919898290244695	0.004379281481172416	0.00421346066575542
SCO0138	0.01797492443088071	0.009855824628226251	0.01116734550027046	0.02100422134524293
SCO0139	0.013309642795222178	0.042604048683876204	0.0019446740697044921	0.006891398907887188
SCO0140	0.01259462311244828	0.004153805945732716	0.017330044484742485	0.0075503811370007225
SCO0141	0.0036990494976067915	0.026695644254703988	0.02191608486109883	0.00039727132905328775
SCO0142	0.04706585792123987	0.00695657928284097	0.0015506606751521193	0.031905821700523584
SCO0143	0.00112406576169874	0.015874499656841273	0.0009835639513817878	0.0014035261629825632
SCO0144	0.009850716454911524	0.0027335858459026042	0.0059027700846488096	0.013694787043886773
SCO0145	0.004843897388275662	0.0029428202160551656	0.0010253501031566607	0.015084867336762611
SCO0147	0.008451476708393895	0.0007903829378107969	0.0001774541233300567	0.0004690671634647347
SCO0148	0.006116106982051616	0.004355792916235498	0.00695703423303917	0.01604775710990761
SCO0149	0.000801993549193662	0.007334339330603632	0.016005279179958528	0.001649425154603355
SCO0150	0.01879369553584872	0.012965656425722907	0.0006594178063768883	0.014025765857251784
SCO0151	0.0030041622696237976	0.0019955357745357395	0.0016755604473894835	0.012381422107215663
SCO0152	0.013773018694753671	0.013921002566949675	0.003126076065411601	0.014967991210123781
SCO0153	0.015113407173041177	0.005850177652533348	0.011906187075436753	0.009850994747997138
SCO0154	0.0005920849671401903	0.002814887613789208	0.0060965815430560595	0.0016710060209904698
SCO0155	0.003143294189923679	0.0010987748854132395	0.007540871247682271	0.010496860323607315
SCO0156	0.009508976653215243	0.01422132281772696	0.003545005245575485	0.004559051248474712
SCO0157	0.028057492952798923	0.0044442764031616495	0.018259754148407546	0.010556873732147611
SCO0158	0.0008254860339446151	0.008098934743591362	0.00639735083367064	0.0003758608152371582
SCO0159	0.002190216341172863	0.005053739545713642	0.0002651736732605949	0.02674308986669754
SCO0160	0.011387527562855784	0.014389748260229884	0.02885944827918689	0.04544354404542234
SCO0161	0.009373500598453566	0.007020047608805478	0.013373879288570643	0.01175014220091306
SCO0162	0.009319110098437963	0.01544766020893047	0.0011349246138988274	0.0027648094554469944
SCO0163	0.019886686511268625	0.009743701258907536	0.024588480442231036	0.008699863948673767
SCO0164	0.01827959305815816	0.004792335821195811	0.013768543068007429	0.02854555343172349
SCO0165	0.016193392539427538	0.004438863382154929	0.0067088285367295185	0.003147531797837436
SCO0166	0.0016953161667362388	0.0026817900374800654	0.002017187096422615	0.0037476627573817187
SCO0167	0.015748684945708236	0.003915464191584942	0.005478467660255252	0.013227875793386027
SCO0168	0.02078891432817262	0.0007000265270688966	0.0008827994358346397	0.03644126502941002
SCO0169	0.00275674969711102	0.004172738593267702	0.01390606110240309	0.004048155175727832
SCO0170	0.002160150188304132	0.012704582645021294	0.0027953807118387287	0.01291665895314725
SCO0171	0.004755952098888693	0.018068872348707004	0.001392669703912376	0.002214639427053389
SCO0172	0.06371566728079286	0.008948557916890119	0.005569739918184312	0.0377765569678022
SCO0173	0.0025523000937248824	0.0028762025966940965	0.023219976009267472	0.006129531046147024
SCO0174	0.002300081858948953	0.006345864132062735	0.007900419908362618	0.007031114357572166
SCO0175	0.0013782674223266915	0.009672236542694109	0.0082310547923865	0.005509883175936116
SCO0176	0.0	0.022482680346789886	0.008268042578083654	0.005456808026853134
SCO0177	0.0014128435151069	0.020110630236441412	0.010726346873772899	0.01086140617512612
SCO0178	0.021216358835584162	0.02905953455060097	0.005657836898627948	0.0010381888313899241
SCO0179	0.00565724536285267	0.01529472026208785	0.008834570840230576	0.0012940779681404886
SCO0180	0.007824053991831907	0.007330264109777586	0.0025500614133464198	0.0006115380299200172
