	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0111	6.803172741905353	7.007585059242359	6.82253275833596	6.917708372195146
SCO0112	6.563601443051533	6.639200577467922	6.761790387446497	6.473703246132703
SCO0116	7.776545519370177	7.884598528524484	7.735890727697306	7.850215569589117
SCO0117	7.150737840679113	7.138855544605176	6.998209689723651	7.0794680932067235
SCO0118	10.393012784505366	9.494935931505253	9.88827798109616	9.24581073883594
SCO0119	9.81624183758862	9.809913818426358	9.757565511786476	9.495354857131394
SCO0120	8.535643092510577	8.446406435226647	8.558229032092827	8.461114766077479
SCO0121	8.611808965203211	8.76597671316583	8.646652565994765	8.74752156114661
SCO0122	8.447397769015668	8.377140459641366	8.55542189857776	8.46743387101843
SCO0123	8.2014095509701	8.325442138147	8.37803997375781	8.22137815381726
SCO0124	9.609030679068788	9.500098602895601	9.504522569141693	9.578371280216386
SCO0125	9.015541843185643	8.767512324763823	8.977408009157847	8.80854114161311
SCO0126	11.127677778800367	10.842197352538534	11.100768152456366	11.007946391288634
SCO0127	10.731892074747932	10.501212079697831	10.622236059371533	10.547697487145399
SCO0128	7.139243184574877	7.076025216660553	7.142192668395187	7.070731134884184
SCO0129	7.534471946916201	7.464610265892584	7.519384331075741	7.4735731882269
SCO0130	7.47217860825591	7.235817312863049	7.269897819077964	7.2675339996237405
SCO0131	6.839591579774576	7.03884256268439	6.789109329867717	6.881258030784774
SCO0132	8.51841388679149	10.618285327124566	8.588125077349927	10.371396616362766
SCO0133	6.862401967049273	7.278209257186043	6.860569262516033	7.268351351724267
SCO0134	6.956659727730197	7.35679341120687	7.0249726236155245	7.222258440065194
SCO0135	7.4388521427109495	8.565488598167423	7.456185721098254	8.50218888984742
SCO0136	7.748157467684507	7.987807080043059	7.803604459677253	8.256809643450357
SCO0137	7.840187922302294	8.355877666307883	7.708498231876413	8.36213437459306
SCO0138	7.100806495268963	7.418525828338367	6.97108884977083	7.345536453706714
SCO0139	6.846025548120022	7.300796600987603	6.914296000430837	7.4320689493401035
SCO0140	8.265509015581076	8.69706764947043	8.258878735252646	9.266533242590109
SCO0141	8.623101070228502	9.184562296576706	8.680724240527702	9.907433367224908
SCO0142	7.780131952696263	8.276933344061773	7.933325231497624	8.372924713756326
SCO0143	7.314864174252707	7.389159037295763	7.414640987924726	7.35557216158999
SCO0144	7.13799289981372	7.264619750162336	7.350772437008247	7.3529528159108
SCO0145	8.044621699118798	8.00685172275936	7.972738616111767	7.907913019533403
SCO0147	7.416223753003037	7.30790904405447	7.465863755551001	7.3614273941946
SCO0148	7.171314767194439	7.1478660664624805	7.146496485019327	7.015136555909026
SCO0149	7.556947517614627	7.49200725324917	7.584750262391167	7.581204410049769
SCO0150	7.428665106571277	7.40487926713302	7.443044808919776	7.385546366355296
SCO0151	6.906568804955181	6.930749613887261	6.85553569853593	6.840843386569479
SCO0152	7.188703609109102	7.176048102551616	7.132772036350327	7.155975648967863
SCO0153	7.568137455824449	7.258197922633411	7.652317693500913	7.558597666968747
SCO0154	6.8426130352942565	7.069875038283544	6.897596510692754	7.077979927189976
SCO0155	7.757243064780742	7.8163364991978135	7.699640468328013	7.799169144627214
SCO0156	7.158074502039757	7.281475844534067	7.129164868996696	7.36622731956044
