	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0142	0.12525421871969006	0.04815454039804544	0.02273514661745935	0.10312746433503797
SCO0143	0.019356874417966175	0.07274269644173055	0.018106757038757547	0.021629656824081172
SCO0144	0.05730246200327849	0.030186011362343564	0.04435752504610993	0.067564258411004
SCO0145	0.04018248950424244	0.031319962835520555	0.01848738401502189	0.07091043020779245
SCO0147	0.05307691497061567	0.016231481117577214	0.007690993072637126	0.012504228131112755
SCO0148	0.04515199139961092	0.03810421199918061	0.0481561149908613	0.07313858331940265
SCO0149	0.016350265534986093	0.04944471434711579	0.07304172136516346	0.023447993194893782
SCO0150	0.0791490061757963	0.06574104863204548	0.01482585361653631	0.06837583846469888
SCO0151	0.031644706085029964	0.025791056424891035	0.02363303089173769	0.06424282607735451
SCO0152	0.06775696445078216	0.06811999845113934	0.032280417518012375	0.07063519238576897
SCO0153	0.07097747805475851	0.044159474832827394	0.0629978493692093	0.057303271424928665
SCO0154	0.014048546391473987	0.030631615550980484	0.04507986077712922	0.023600889961965913
SCO0155	0.03236919415083669	0.01913787593067074	0.05013605238974668	0.05915195213348785
SCO0156	0.05629972366188916	0.06885086011984397	0.03437540421859543	0.038983121341056956
SCO0157	0.09670831221220323	0.03848929029899811	0.07801656693379842	0.05932080504102984
SCO0158	0.016588008057475487	0.05195810730319624	0.046178461190150254	0.011193164807702336
SCO0159	0.027019846663596886	0.04104363347184572	0.009401660726711975	0.0944159059104936
SCO0160	0.061610409193186895	0.06925736605885299	0.09808066115734691	0.1230765940995313
SCO0161	0.05589722890702653	0.048373710521334067	0.06676795461040334	0.0625836565484234
SCO0162	0.055734818855116545	0.07175806623400251	0.01945014664810892	0.030357917448594278
SCO0163	0.0814180293531857	0.05699035374197852	0.09053264685962929	0.053851227001414946
SCO0164	0.07805893725930889	0.0399680531641452	0.06774595453606419	0.09754580707155569
SCO0165	0.07346970473019825	0.03846584364582398	0.04728928186079632	0.03239100594217185
SCO0166	0.023771945417068407	0.02989866238635694	0.025930593876877142	0.03534431947466579
SCO0167	0.07245385875555155	0.036126925284727926	0.042733545216278875	0.06640249943434867
SCO0168	0.08324444791931095	0.015275541747827874	0.017154197113579715	0.11021383009013286
SCO0169	0.03031363662947211	0.03729494422066572	0.06808343191115611	0.036733976895728895
SCO0170	0.02683374857838621	0.06507580872854186	0.030525293948018086	0.06561671269106992
SCO0171	0.03981604408145328	0.07760771514204629	0.02154584030938359	0.027170078070390777
SCO0172	0.14573453866624853	0.05461549815723897	0.04308804907080505	0.11221490834971112
SCO0173	0.029167905271175958	0.03096343325437333	0.08797722434294661	0.04520151563147348
SCO0174	0.027689238938312922	0.0459922606970011	0.05131737817530763	0.04841182485568364
SCO0175	0.021434142719243453	0.05678097258382162	0.05238019597897186	0.042855894872374775
SCO0176	0.0	0.08656920227346038	0.05249775416810277	0.04264898602488745
SCO0177	0.02170133264039254	0.08187516969232575	0.05979505797241357	0.06017033093678346
SCO0178	0.08409589533301486	0.09842007679770927	0.04342747555264965	0.01860276710053215
SCO0179	0.043425205287761434	0.07140196136915719	0.05426653615943739	0.02076919167212572
SCO0180	0.051068757545854805	0.04943097581401627	0.02915511054884672	0.014277465110212635
SCO0181	0.0478512232125868	0.07263124040362551	0.060873271622104985	0.030903608138553054
SCO0182	0.0	0.02976092851677931	0.05211354074115675	0.040319862734740225
SCO0183	0.03981604408145328	0.0288053401720516	0.028048090394511345	0.07254688261699813
SCO0184	0.018372413899315	0.008832457941117306	0.018865579741227035	0.025486995528675362
SCO0185	0.04738533554802301	0.04379857654413964	0.12578103792044337	0.026597753248025394
SCO0186	0.09449858388862903	0.056968133456264135	0.053613094991646564	0.057458613484705295
SCO0187	0.09863852908878527	0.08603627374301288	0.02587762870981719	0.02969035210467504
SCO0188	0.046339434346407214	0.059741732098807565	0.06237967419584738	0.029252945158222382
SCO0189	0.07187566890578789	0.01577473289583886	0.11687957341657808	0.030922435833650598
SCO0190	0.04120943989228424	0.06826825796055544	0.06995070924527408	0.054165439984763905
SCO0191	0.09744982526143595	0.04816471351260532	0.07315779479600423	0.09221929673382485
SCO0192	0.1461953807492361	0.04790606304540141	0.28216948089435884	0.0529876476544747
SCO0193	0.556345774698163	0.12945835431258412	0.1223372803882247	0.019851270551358317
SCO0194	0.7697767641510846	0.6898902421145279	0.021036112487039724	0.19061361058934032
SCO0195	1.1244991931418	0.5537963070911663	0.0703135999877779	0.07722683101692872
