Geneid	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0361	3	3	3	3
SCO0362	3	3	3	3
SCO0363	3	3	3	3
SCO0364	3	3	3	3
SCO0365	3	3	3	3
SCO0366	3	3	3	3
SCO0367	3	3	3	3
SCO0368	3	3	3	3
SCO0369	3	3	3	3
SCO0370	3	3	3	3
SCO0371	3	3	3	3
SCO0372	3	3	3	3
SCO0373	3	3	3	3
SCO0374	3	3	3	3
SCO0375	3	3	3	3
SCO0376	3	3	3	3
SCO0377	3	3	3	3
SCO0378	3	3	3	3
SCO0379	3	3	3	3
SCO0380	3	3	3	3
SCO0381	3	3	3	3
SCO0382	3	3	3	3
SCO0383	3	3	3	3
SCO0384	3	3	3	3
SCO0385	3	3	3	3
SCO0386	3	3	3	3
SCO0387	3	3	3	3
SCO0388	3	3	3	3
SCO0389	3	3	3	3
SCO0390	3	3	3	3
SCO0391	3	3	3	3
SCO0392	3	3	3	3
SCO0393	3	3	3	3
SCO0394	3	3	3	3
SCO0395	3	3	3	3
SCO0396	3	3	3	3
SCO0397	3	3	3	3
SCO0398	3	3	3	3
SCO0399	3	3	3	3
SCO0400	3	3	3	3
SCO0401	3	3	3	3
SCO0402	3	3	3	3
SCO0403	3	3	3	3
SCO0404	3	3	3	3
SCO0405	3	3	3	3
SCO0406	3	3	3	3
SCO0407	3	3	3	3
SCO0408	3	3	3	3
SCO0409	3	3	3	3
SCO0410	3	3	3	3
SCO0411	3	3	3	3
SCO0412	3	3	3	3
SCO0413	3	3	3	3
SCO0414	3	3	3	3
SCO0415	3	3	3	3
SCO0416	3	3	3	3
SCO0417	3	3	3	3
SCO0418	3	3	3	3
SCO0419	3	3	3	3
SCO0420	3	3	3	3
SCO0421	3	3	3	3
SCO0422	3	3	3	3
SCO0423	3	3	3	3
SCO0424	3	3	3	3
SCO0425	3	3	3	3
SCO0426	3	3	3	3
SCO0427	3	3	3	3
SCO0428	3	3	3	3
SCO0429	3	3	3	3
SCO0430	3	3	3	3
SCO0431	3	3	3	3
SCO0432	3	3	3	3
SCO0433	3	3	3	3
SCO0434	3	3	3	3
SCO0435	3	3	3	3
SCO0436	3	3	3	3
SCO0437	3	3	3	3
SCO0438	3	3	3	3
SCO0439	3	3	3	3
SCO0440	3	3	3	3
SCO0441	3	3	3	3
SCO0442	3	3	3	3
SCO0443	3	3	3	3
SCO0444	3	3	3	3
SCO0445	3	3	3	3
SCO0446	3	3	3	3
SCO0447	3	3	3	3
SCO0449	3	3	3	3
SCO0450	3	3	3	3
SCO0451	3	3	3	3
SCO0452	3	3	3	3
SCO0453	3	3	3	3
SCO0454	3	3	3	3
SCO0455	3	3	3	3
SCO0456	3	3	3	3
SCO0457	3	3	3	3
SCO0458	3	3	3	3
SCO0459	3	3	3	3
SCO0460	3	3	3	3
SCO0461	3	3	3	3
SCO0462	3	3	3	3
SCO0463	3	3	3	3
SCO0464	3	3	3	3
SCO0465	3	3	3	3
SCO0466	3	3	3	3
SCO0467	3	3	3	3
SCO0468	3	3	3	3
SCO0469	3	3	3	3
SCO0470	3	3	3	3
SCO0471	3	3	3	3
SCO0472	3	3	3	3
SCO0473	3	3	3	3
SCO0474	3	3	3	3
SCO0475	3	3	3	3
SCO0476	3	3	3	3
SCO0477	3	3	3	3
SCO0478	3	3	3	3
SCO0479	3	3	3	3
SCO0480	3	3	3	3
SCO0481	3	3	3	3
SCO0482	3	3	3	3
SCO0483	3	3	3	3
SCO0484	3	3	3	3
SCO0485	3	3	3	3
SCO0486	3	3	3	3
SCO0487	3	3	3	3
SCO0488	3	3	3	3
SCO0489	3	3	3	3
SCO0490	3	3	3	3
SCO0491	3	3	3	3
SCO0492	3	3	3	3
SCO0493	3	3	3	3
SCO0494	3	3	3	3
SCO0495	3	3	3	3
SCO0496	3	3	3	3
SCO0497	3	3	3	3
SCO0498	3	3	3	3
SCO0499	3	3	3	3
SCO0500	3	3	3	3
SCO0501	3	3	3	3
SCO0502	3	3	3	3
SCO0503	3	3	3	3
SCO0504	3	3	3	3
SCO0505	3	3	3	3
SCO0506	3	3	3	3
SCO0507	3	3	3	3
SCO0508	3	3	3	3
SCO0509	3	3	3	3
SCO0511	3	3	3	3
SCO0512	3	3	3	3
SCO0513	3	3	3	3
SCO0514	3	3	3	3
SCO0516	3	3	3	3
SCO0517	3	3	3	3
SCO0518	3	3	3	3
SCO0519	3	3	3	3
SCO0520	3	3	3	3
SCO0521	3	3	3	3
SCO0522	3	3	3	3
SCO0523	3	3	3	3
SCO0524	3	3	3	3
SCO0525	3	3	3	3
SCO0526	3	3	3	3
SCO0527	3	3	3	3
SCO0528	3	3	3	3
SCO0529	3	3	3	3
SCO0530	3	3	3	3
SCO0531	3	3	3	3
SCO0532	3	3	3	3
SCO0533	3	3	3	3
SCO0534	3	3	3	3
SCO0535	3	3	3	3
SCO0536	3	3	3	3
SCO0537	3	3	3	3
SCO0538	3	3	3	3
SCO0539	3	3	3	3
SCO0540	3	3	3	3
SCO0541	3	3	3	3
SCO0542	3	3	3	3
