Geneid	C24_1	C24_2	C24_3	C45_1	C45_2	C45_3	D24_1	D24_2	D24_3	D45_1	D45_2	D45_3
SCO6065	105.15928303848128	94.84890029051184	96.07744995844398	63.197125775090534	60.348028389224005	64.59913397661187	100.06791842948245	96.09011777245581	103.32380986609935	51.96818064480514	43.947508840067925	48.22791354584063
SCO6066	43.41673402430426	43.73162573430724	43.15090803303849	15.574805028543098	19.607001126458407	16.75526988242761	40.384086842443864	35.440361323199895	45.14319500647162	14.505535249291624	16.075345624747186	16.842424434893918
SCO6067	31.191495759565953	32.708859795796926	37.919091930320306	12.522393440619792	9.495939761245541	12.706079660840937	35.97175142817685	34.11134777357991	28.46793235978285	10.202927209163578	12.552563613251431	12.45018433716668
SCO6068	58.42216666077432	63.66545924539044	74.1528908859597	14.88050649112612	14.993589096703486	20.3297274573455	51.943764610571975	62.020632315599826	52.817538157571796	17.49073235856613	12.000802575306315	17.295329965916274
SCO6069	26.7626349341758	28.281863395948175	32.8612935381971	9.335393743265948	8.128642836026035	10.13013184805086	28.922678917194464	29.71527637900037	26.497069189867375	10.284271731332307	9.897763493890213	8.68412826282618
SCO6070	69.41697116773882	72.25625832602081	86.55824272325582	25.56346589949011	29.188703034410928	27.291756904646512	63.51001691461258	71.68459671980571	64.35189863068283	29.544718952570562	31.28142275036486	30.484026126504823
SCO6071	66.42633356203861	54.7671495037649	63.51057784214142	80.47851339994287	63.44509460364347	59.765633960251826	59.23276386321413	64.70053618108871	60.85971474946545	60.93414861028248	63.835686751150455	75.60744128126125
SCO6072	9.872370805126655	12.954408489839608	11.875377782609059	12.339771647223811	14.071944189709718	11.848847899614787	9.445153744259732	11.344103661923807	11.539958537281265	12.56244973092292	13.723711573477521	12.20366515187304
SCO6073	84.4263166593173	82.10958614488223	101.11757848085415	103.81826748944508	91.28146539478631	106.36753894893803	80.77228842194437	97.02631703843495	97.48877712329308	98.09967151589188	102.80059503392877	107.89018063844577
SCO6074	60.820018964731	59.59212201358425	67.24649418579679	97.93583105297567	88.78556680793046	90.06368230184312	66.91088898404914	62.020632315599826	52.357254600643074	83.64899881042197	98.26214955169674	95.58610084417015
SCO6075	24.032377105910506	27.058424161973118	27.063098863488946	42.37837196228331	50.34343784294602	62.23196680601656	28.66953556319481	21.57895479593863	27.46052054293014	61.44098501868578	61.10652808921389	64.77354901818154
SCO6076	122.44937327362761	117.56102128197566	119.98213114173852	141.2279578533368	153.67434554287075	148.02414289234324	125.22677248206094	115.48669465663416	122.50109831883188	143.9099878905234	136.92308728104908	127.42848507536371
SCO6077	120.93817095500033	116.67787300291738	114.70053678425246	89.71266942533585	95.06383057133793	85.03591223762801	133.8456777626072	126.01605093378592	99.90937304275953	75.1514116077944	93.73349453569153	85.88897110415962
SCO6078	136.78286704796295	130.9010067715527	131.11695170713278	65.95674895621673	62.65362316698089	57.810479281626804	151.54440835721203	144.57272252261816	146.2218214382165	67.4497636378984	57.28786962272957	60.635451624309816
SCO6079	132.2248189807687	140.28664051911088	137.02164620231687	102.82716352920008	99.2510408683959	89.63310543354096	124.27373583882485	120.89529052823444	114.68644186769977	86.29513841989575	86.27263620478827	86.93663200952594
SCO6080	18.316249668829748	18.995430235469282	22.790749553974898	24.508028613177224	23.927592962614895	24.35880556741527	15.716547326132444	18.852558355000983	16.35594461019858	20.2208272409589	17.71067165839381	20.019949800696818
SCO6081	8.427809717224878	8.420705220381961	8.280099478581109	24.491123647681846	23.959978606146517	20.745906741521928	8.636501248264578	7.746166649839184	8.315851711718457	20.50712416730148	18.293342849241206	18.280582119087892
SCO6082	41.411184507721515	39.16067851322296	40.08264372214038	43.33366720173098	40.69383783287376	40.23290657899279	38.22456689380678	39.229740876723646	43.18091762227177	37.0091954244198	34.571400169114625	36.27512383517441
SCO6083	88.97574110901826	88.19335994619922	86.61433605451369	32.427963783073544	24.292497719178247	26.878245436394295	191.63744913659704	176.7190452838726	174.73683409248406	58.127253571436725	55.776276558142	58.638882131781386
SCO6084	57.14904438487367	52.178419198056986	55.16754962016669	29.830710904927304	27.906435216721594	31.32437598019562	97.1415857652255	87.58832155590832	79.60136911968213	74.33561252390606	71.41364291118241	77.69756136663906
SCO6085	45.21028028203139	41.21618146125506	37.90451327136978	29.661410068533204	30.298463780189746	26.90699222295728	45.2127877297949	46.068382019891914	44.589078935913214	51.764851281785795	46.30783382477105	40.911356239776914
SCO6086	8.444954899741836	4.399134624434712	7.679816087153481	6.160325887071302	4.83970280969543	5.468439347703694	10.58354643456452	8.635784246475925	8.347430895433844	10.654955629822723	11.091968334007472	9.781899522872118
SCO6087	5.485315001682261	5.980936593356152	8.608331021751372	5.159651973571269	4.314701898331939	4.84476418722712	7.83363048795607	8.180179322201417	6.688577132159161	7.156729517219056	7.29396336132485	6.300763097945926
SCO6088	5.628782426320229	6.32421883136058	6.725531128656967	4.912814131945331	5.079034821621136	6.131936356043887	6.857347735728202	8.250231058223642	7.524784611531782	7.723213461692846	7.594715446889587	7.470708258960725
SCO6089	4.647519589547929	5.1172864942338725	0.7748473446808747	1.0468040493726056	3.1021218820765837	1.6551981167379	9.08885507763814	6.336718499678144	6.295832560289529	8.209251777487935	9.877790995396795	7.500705585609731
SCO6090	20.182245996643047	15.873034586663579	18.82379742603013	8.884405847434742	9.447034657588832	12.069259439175879	25.33777498520875	21.11760591175555	26.31699133589182	21.459020532399528	23.16013664644334	23.484340795643178
SCO6091	19.50326903504344	22.90052271039943	36.91170081929902	5.864937482696913	4.67435538549805	7.38530389797888	34.47041337899485	33.86419377866305	24.734440837655583	9.400979826144775	9.60479666779629	9.970128941255876
SCO6092	86.1695845209624	71.34582806095958	88.04044173742857	85.6598895565497	81.604452132878	73.32032853468868	80.75182716117088	73.65656151142274	72.0707148348933	74.43119029635726	54.769066963240796	58.555982863327735
SCO6093	96.5948150697848	93.59462893375624	122.09913760338748	73.92738296269516	86.228191110359	74.70562499385997	78.40147277518628	91.66101482787444	94.29975459119774	59.31219733037862	56.771557398208515	53.79389991962337
SCO6094	147.1791704152034	139.425101377369	187.93234158448223	125.4860658478377	134.44909170267667	114.18753168887315	123.3170994906205	119.6889395564207	127.7358590560543	80.4235668584152	68.32126602252994	65.2448407868762
SCO6095	242.46974062153157	224.02483218630718	294.1949170141077	192.66872926648293	233.2210349306105	194.85851977983987	211.02449180507216	204.86312007643414	215.2330706427719	128.3547493718833	108.43665983464808	95.64852091949521
SCO6096	277.728626192512	241.4648617171602	319.1981530849427	235.81572430297604	245.19407386946085	230.22863907197657	229.31463160735535	247.29603573665798	265.0948902187815	141.60720304566027	125.94545431355951	120.53533037069538
SCO6097	513.8009171210705	481.28578545401035	597.3841601844563	402.1924795922315	446.88856705926855	386.7483273757735	423.7284759238723	443.7493913908182	465.52579431848335	243.78675632514742	223.02376467383417	203.45052525336456
SCO6098	585.1865640372953	533.5654525262186	673.5787576120796	492.6396141539213	542.0685438284238	490.3816048017844	469.5181716503939	503.4305213093737	544.7440803718548	292.1525083454586	280.7899582398981	236.6865494349986
SCO6099	503.78815621595663	447.69109776370084	567.9154873338102	392.84319087205927	456.34119217229386	390.26830153800825	411.6954187310592	416.2427539393329	432.9074446395378	227.855874405762	259.73611430084077	197.8694293616357
SCO6100	598.239142767859	558.028789483849	651.5043980601869	543.4055887753423	606.8291418378897	543.8416543441792	458.78443148902943	515.5301504714415	526.9372770713211	321.2630561113215	289.3078682820462	278.675448629379
SCO6101	447.6557261789558	449.7468221922076	520.1937648515053	428.6073754903048	457.3044674494563	386.6883576782592	364.90263160474893	376.9476208514789	415.84802459733436	236.5803746624804	235.1191722943634	192.7631988754427
SCO6102	556.7198261601367	488.03236921467305	570.3198169087988	530.3814889642531	580.9353513970096	530.1533167321901	419.38987817322413	458.90884829988	483.9943234760236	351.7170733388566	333.6375191415579	302.2359236619614
SCO6103	102.15713852609443	99.89616866081084	102.17640129217199	73.66814989341297	72.84843288869548	64.52825796343303	94.87950284720765	96.11574432155786	100.9744674859552	68.7095032606631	73.10111552461366	69.32003700274785
SCO6104	423.40358652825324	421.3692725976806	471.5742168422178	262.45564334449705	278.5110522620538	267.3498405349545	474.2961770438621	457.2723636784864	395.2042075124354	197.59436084869873	203.23513163077794	211.36496224741165
SCO6105	28.692952171590388	31.948188637755127	33.07877373559725	17.234837483812868	19.03837127162815	16.311060401823713	36.89874187981434	30.866082129158983	31.476465688355724	15.660306879181302	15.494219844621627	15.75492452610186
SCO6106	85.40084960056389	77.81543257871041	88.311768063924	52.57446708451809	46.807943022325226	48.36507741868486	103.49326914819844	95.58735446490294	88.11226104007923	45.734895487312535	50.97856686605834	45.70145529771973
SCO6107	40.182281171743575	38.39735715158769	38.68846481006594	34.34996461577129	29.20490397966592	31.010200215733533	35.394061726431744	40.86770168042423	42.239705911928766	32.494105133531825	31.150509033553725	32.18008665258674
SCO6108	77.2969035457787	84.54497349649364	120.72002651649	33.69312630507019	32.577241569037135	35.167306853997374	107.63348147415265	123.40637652048333	118.93742920353407	54.857869183626626	48.98335394924485	46.079443254640324
SCO6109	62.082810895024096	58.53898628151975	93.08921431013016	24.336648669493727	20.48336778171697	22.610818924016158	87.11609518038999	94.00765134451154	101.04087225474606	39.31541340932619	34.4986416687634	29.916951231041303
SCO6110	27.254705032630447	23.199649747288532	24.215860218715882	6.078831767291161	10.09277194859005	7.566079798041206	35.74207086714677	28.367581555355258	30.647546696779866	11.886905486404169	12.843175616246798	10.253583350997665
SCO6111	5.263638836938509	6.2329169690511765	7.0747793817662465	5.886263128308714	4.400848676848122	4.856931474451143	7.03441684602296	4.515722944480533	6.050988344499572	3.5910473325767707	3.9546012958523806	4.351776801386964
SCO6112	5.814969380977993	4.66485416550795	6.4470939299873455	3.8965348716998744	3.8238683602331047	5.457644954992081	4.175933414480896	4.301207162826834	4.498373476271864	4.236953832664406	3.499424032604942	4.149101005674616
SCO6113	2.707595118017878	3.407172895395512	3.6865783821144746	2.5613986583085944	3.842107206030269	4.129475889773305	3.767311804977981	4.651547423669987	3.378314757885623	4.543491022830655	2.98726874449974	2.897887733650865
SCO6114	6.149788181819711	5.062731201118374	5.925076461564698	4.75749004528296	5.619487787487543	5.478574978140371	5.610761282329588	4.662689881106455	5.306699400778213	5.583691507502455	6.004862042313162	5.724222683754795
SCO6115	7.560030290308742	7.950070089256195	9.50042608275999	8.11946633516123	7.055806633742818	10.276976196268404	9.150207040553731	6.992522270876451	8.690880318325366	8.627475213630966	10.436803456719234	9.154547306740204
SCO6116	8.091179185360819	7.052980468289543	6.557560212766158	4.983265872195709	5.600718106161613	4.647359875949603	6.203982789169212	6.35490266268792	5.7207882592677946	4.912888101688687	4.959408551179854	3.7586092524654537
SCO6117	7.193007407866362	7.097205427389897	7.249939589193316	3.3507605089823116	4.186889030777577	5.082431864336375	8.217921794912407	5.46093617873206	5.058548286524585	4.76457449861884	4.8096905571819715	5.832226885335073
SCO6118	16.208914035740257	17.780200709510122	16.178812556936666	11.138800319208656	9.042287578319641	9.382951134159462	12.683594682367556	15.521060805134727	13.970630875687007	10.713073569621756	11.052198021608364	9.98656695904298
SCO6119	6.536229618232632	8.72714460925868	6.800304985554519	8.837574318140762	8.68049895072307	7.356151382592121	10.91603646943252	8.885997027673659	7.017411707608031	6.712452111291826	10.036968881041124	9.716114818478534
SCO6120	15.521330541569968	15.384535282276671	15.715615469417006	17.18075173671204	13.429840540605577	15.902087428291726	21.23353259564079	17.502755132009764	17.509204340256286	30.04542981839581	24.880022263169426	26.54915551483819
SCO6121	12.39040418773777	17.230055678269533	15.717758313086138	13.271495638904632	16.00351996850217	17.775344603248982	17.127006701554585	17.138689413637255	17.476214788979306	20.815557453928285	26.716097925373717	20.954214124729337
SCO6122	2.558586527630317	4.207515521830699	2.4883520431530104	4.125742805329279	5.031405737148821	5.1165421453050755	2.8709542224556164	3.3299668357369034	2.902176436304428	4.622131453815713	5.832373387674904	4.840617839953719
